,$n$,$x_{n}$,$y_{n}$,$y(x_{n})$,Error
0,0.0,0.0,1.0,0.0,0.0
1,0.0,0.1,1.1,1.1051709180756477,0.005170918075647624
2,1.0,0.2,1.2100000000000002,1.2214027581601699,0.011402758160169668
3,2.0,0.30000000000000004,1.3310000000000002,1.3498588075760032,0.018858807576003
4,3.0,0.4,1.4641000000000002,1.4918246976412703,0.02772469764127017
5,4.0,0.5,1.61051,1.6487212707001282,0.038211270700128086
6,5.0,0.6,1.7715610000000002,1.8221188003905089,0.05055780039050872
7,6.0,0.7,1.9487171,2.013752707470476,0.0650356074704761
8,7.0,0.7999999999999999,2.1435888100000002,2.2255409284924674,0.0819521184924672
9,8.0,0.8999999999999999,2.357947691,2.4596031111569494,0.10165542015694928
10,9.0,0.9999999999999999,2.5937424601,2.7182818284590446,0.12453936835904456
